,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
84,bambous virieux,2,MU,1660789371,85,-20.2567,57.4061,292.11,2.83
85,dikson,100,RU,1660789371,80,73.5069,80.5464,278.08,4.0
86,port lincoln,17,CD,1660789346,48,-7.0349,29.7638,295.91,1.27
87,bur gabo,100,DK,1660789372,92,56.365,8.4267,287.64,3.19
88,luganville,88,VU,1660789372,69,-15.5333,167.1667,301.99,1.04
89,orsk,0,RU,1660789373,62,51.2049,58.5668,285.65,3.0
90,manokwari,68,ID,1660789373,76,-0.8667,134.0833,300.99,2.95
91,makhachkala,0,RU,1660789373,54,42.9764,47.5024,294.14,5.36
92,narsaq,0,GL,1660789374,72,60.9167,-46.05,281.27,0.76
93,yuxia,100,CN,1660789374,47,34.0615,108.6291,304.49,0.37
94,tashara,81,RU,1660789279,80,55.5195,83.5094,282.81,1.04
95,taltal,12,CL,1660789374,84,-25.4,-70.4833,287.83,3.51
96,cherskiy,3,RU,1660789375,39,68.75,161.3,288.83,9.79
97,puerto ayacucho,0,ES,1660789375,93,36.5939,-6.233,292.73,2.06
98,nome,100,US,1660789090,59,64.5011,-165.4064,285.19,3.09
99,kruisfontein,1,ZA,1660789375,84,-34.0033,24.7314,284.75,6.0
100,pisco,75,PE,1660789376,82,-13.7,-76.2167,289.18,3.6
101,mormugao,75,IN,1660789376,83,15.4,73.8,299.74,3.6
102,vila velha,8,PT,1660789376,81,42.0304,-8.1588,283.64,2.56
103,hamilton,20,US,1660789376,80,39.1834,-84.5333,295.62,4.12
104,lagoa,100,PT,1660789377,66,39.05,-27.9833,294.81,3.05
105,nara,96,JP,1660789132,59,34.6851,135.8049,300.91,2.24
106,butaritari,100,KI,1660789377,64,3.0707,172.7902,300.94,5.64
107,marzuq,100,YE,1660789378,60,14.4,46.4667,298.58,2.77
108,grindavik,75,IS,1660789378,93,63.8424,-22.4338,282.12,3.09
109,cap malheureux,5,FR,1660789378,95,49.2718,-1.2104,289.94,1.32
110,severo-kurilsk,72,RU,1660789379,92,50.6789,156.125,286.5,5.74
111,ostrovnoy,0,RU,1660789379,74,68.0531,39.5131,291.4,8.3
112,pevek,12,RU,1660789379,69,69.7008,170.3133,277.98,1.68
113,boali,100,CF,1660789380,93,4.8005,18.1275,292.78,0.93
114,faanui,100,PF,1660789380,81,-16.4833,-151.75,294.61,3.69
115,puerto baquerizo moreno,0,ES,1660789380,93,36.5939,-6.233,292.73,2.06
116,touros,100,BR,1660789103,84,-5.1989,-35.4608,296.92,7.17
117,cabo san lucas,20,BR,1660789381,88,-8.2833,-35.0333,299.11,3.16
